id,follower,wohnort,medium,sex,type
_juliaschramm,21.900,1,10,1,0
annalero,1.100,2,1,1,0
annalist,28.800,1,10,1,0
annlivma,382,7,10,1,0
apeanne,1.200,1,2,1,0
ckoever,2.000,1,3,1,0
crazylittlenici,602,3,10,1,0
digiwomende,10.200,4,10,3,1
doubleyoueiebke,320,7,4,1,0
ecoimquadrat,1.800,5,5,1,0
emotionmagazin,1.600,4,10,3,1
fraeulein_tessa,37.700,7,6,1,0
frausonnefeld,1.000,4,10,1,0
gesine_agena,3.900,7,10,1,0
laloeffelstiel,1.300,1,7,1,0
laurajo_aha,124,1,8,1,0
leoffm,608,5,10,3,0
marga_owski,37.700,1,1,1,0
marthadear,21.200,1,10,1,0
missclaraott,1.300,1,9,1,0
missy_magazine,12.500,1,10,3,1
mrskingkoch,426,1,9,1,0
netizenmay,1.100,6,10,1,0
nicolaabe,1.700,1,1,1,0
ninialagrande,9.100,7,10,1,0
noravanessa,4.200,1,6,1,0
ohsophianet,1.000,1,10,1,0
slow_haus,1.700,1,3,1,0
tdfev,4.600,1,10,3,1
textautomat,8.000,1,7,1,0
